,County,VIN
0,Adams,66
1,Asotin,87
2,Benton,2624
3,Chelan,1279
4,Clallam,1253
5,Clark,12533
6,Columbia,17
7,Cowlitz,1097
8,Douglas,439
9,Ferry,32
10,Franklin,736
11,Garfield,3
12,Grant,737
13,Grays Harbor,772
14,Island,2244
15,Jefferson,1138
16,King,107115
17,Kitsap,6998
18,Kittitas,778
19,Klickitat,353
20,Lewis,954
21,Lincoln,60
22,Mason,980
23,Okanogan,320
24,Pacific,258
25,Pend Oreille,68
26,Pierce,16677
27,San Juan,1039
28,Skagit,2366
29,Skamania,220
30,Snohomish,25392
31,Spokane,5701
32,Stevens,249
33,Thurston,7719
34,Wahkiakum,71
35,Walla Walla,539
36,Whatcom,5110
37,Whitman,412
38,Yakima,1284
