County, FIPS,Value (Percent),People (Age 18-39),Rank within US (of 3143 counties)
Washington,53000,31.2,2397858,45 of 52
United States,0,29.8,98679467,N/A
Whitman County,53075,53.4,25192,"3,137"
Kittitas County,53037,36.8,16344,"3,034"
King County,53033,34.7,782933,"2,959"
Whatcom County,53073,33.8,76585,"2,923"
Franklin County,53021,31.9,30862,"2,821"
Pierce County,53053,31.9,293056,"2,819"
Walla Walla County,53071,31.7,19680,"2,802"
Spokane County,53063,31,166876,"2,736"
Kitsap County,53035,30.4,83820,"2,674"
Snohomish County,53061,30.3,250644,"2,651"
Grant County,53025,29.8,29529,"2,577"
Thurston County,53067,29.5,86850,"2,520"
Yakima County,53077,29.3,75008,"2,472"
Benton County,53005,29.2,60598,"2,447"
Clark County,53011,28.5,143889,"2,325"
Island County,53029,28.2,24367,"2,256"
Adams County,53001,28,5765,"2,223"
Douglas County,53017,27.5,11872,"2,070"
Chelan County,53007,26.9,21271,"1,892"
Skagit County,53057,26.6,34386,"1,771"
Cowlitz County,53015,26.2,28972,"1,640"
Lewis County,53041,26,21478,"1,562"
Mason County,53045,25.2,16641,"1,274"
Grays Harbor County,53027,24.8,18768,"1,139"
Asotin County,53003,24.2,5423,954
Okanogan County,53047,23.9,10104,831
Skamania County,53059,23.3,2829,690
Klickitat County,53039,22.9,5232,600
Clallam County,53009,21.9,16941,399
Stevens County,53065,21.5,10068,332
Lincoln County,53043,21.1,2334,283
Pend Oreille County,53051,20.9,2833,238
Garfield County,53023,20.8,480,222
Pacific County,53049,19.1,4460,99
Ferry County,53019,19,1382,97
San Juan County,53055,19,3420,94
Columbia County,53013,18.7,746,85
Jefferson County,53031,16.7,5509,33
Wahkiakum County,53069,15.9,711,24
